McLaren,BMW Sauber,Williams,Renault,Toro Rosso,Ferrari,Toyota,Super Aguri,Red Bull,Force India,Honda,Spyker,MF1,Spyker MF1,Sauber,BAR,Jordan,Minardi,Jaguar,Prost,Arrows,Benetton,Brawn,Stewart,Tyrrell,Lola,Ligier,Forti,Footwork,Pacific,Simtek,Team Lotus,Larrousse,Brabham,Dallara,Fondmetal,March,AGS,Lambo,Leyton House,Coloni,Euro Brun,Osella,Onyx,Life,Rial,Zakspeed,RAM,Alfa Romeo,Spirit,Toleman,ATS,Theodore,Fittipaldi,Ensign,Shadow,Wolf,Merzario,Kauhsen,Rebaque,Surtees,Hesketh,Martini,BRM,Penske,LEC,McGuire,Boro,Apollon,Kojima,Parnelli,Maki,Embassy Hill,Lyncar,Trojan,Amon,Token,Iso Marlboro,Tecno,Matra,Politoys,Connew,Bellasi,De Tomaso,Cooper,LDS,Protos,Shannon,Scirocco,RE,BRP,Porsche,Derrington,Gilby,Stebro,Emeryson,ENB,JBW,MBM,Behra-Porsche,Maserati,Scarab,Kurtis Kraft,Aston Martin,Vanwall,Fry,Tec-Mec,Connaught,OSCA,Mercedes,164,Virgin,Cooper-Maserati,Cooper-OSCA,Cooper-Borgward,Cooper-Climax,Cooper-Castellotti,Lotus-Climax,Lotus-Maserati,De Tomaso-Osca,De Tomaso-Alfa Romeo,Lotus-BRM,Lotus-Borgward,Cooper-Alfa Romeo,De Tomaso-Ferrari,Lotus-Ford,Brabham-BRM,Brabham-Ford,Brabham-Climax,LDS-Climax,LDS-Alfa Romeo,Cooper-Ford,McLaren-Ford,McLaren-Serenissima,Eagle-Climax,Eagle-Weslake,Brabham-Repco,Cooper-Ferrari,Cooper-ATS,McLaren-BRM,Cooper-BRM,Matra-Ford,BRM-Ford,McLaren-Alfa Romeo,March-Alfa Romeo,March-Ford,Lotus-Pratt & Whitney,Shadow-Ford,Shadow-Matra,Brabham-Alfa Romeo,Lotus,Marussia,Caterham,Lotus F1,Manor Marussia,Haas F1 Team,Racing Point,AlphaTauri,Alpine F1 Team
96.0,,141.0,,,37.0,,,,,,,,,,,,0.0,,,1.0,19.0,,,11.0,6.0,29.0,,,,,58.0,,2.0,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.0,,137.0,,,53.0,,,,,,,,,,,,0.0,,,11.0,28.0,,,11.0,,1.0,,,,,64.0,3.0,10.0,,,1.0,1.0,,,0.0,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.0,,20.0,,,65.0,,,,,,,,,,,,1.0,,,23.0,39.0,,,5.0,,0.0,,,,,23.0,0.0,,0.0,,22.0,0.0,,,0.0,0.0,0.0,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141.0,,77.0,,,59.0,,,,,,,,,,,,6.0,,,13.0,39.0,,,16.0,,3.0,,,,,15.0,1.0,8.0,8.0,,4.0,1.0,,,0.0,0.0,0.0,6.0,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121.0,,57.0,,,110.0,,,,,,,,,,,,0.0,,,2.0,71.0,,,16.0,,0.0,,,,,3.0,11.0,2.0,0.0,,,0.0,,7.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139.0,,125.0,,,55.5,,,,,,,,,,,13.0,6.0,,,,38.5,,,12.0,1.0,0.0,,0.0,,,3.0,1.0,3.0,5.0,0.0,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.0,,164.0,,,21.0,,,,,,,,,,,1.0,1.0,,,,91.0,,,8.0,,6.0,,6.0,,,13.0,1.0,0.0,2.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84.0,,168.0,,,28.0,,,,,,,,,12.0,,3.0,7.0,,,,72.0,,,0.0,0.0,23.0,,4.0,,,12.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,,118.0,,,71.0,,,,,,,,,12.0,,28.0,5.0,,,,103.0,,,13.0,,13.0,,9.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,,118.0,,,73.0,,,,,,,,,18.0,,21.0,1.0,,,,147.0,,,5.0,,24.0,0.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,,175.0,,,70.0,,,,,,,,,11.0,,22.0,0.0,,,,68.0,,,5.0,,15.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,,123.0,,,102.0,,,,,,,,,16.0,,33.0,0.0,,21.0,9.0,67.0,,6.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156.0,,38.0,,,133.0,,,,,,,,,10.0,,34.0,0.0,,1.0,6.0,33.0,,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124.0,,35.0,,,128.0,,,,,,,,,5.0,0.0,61.0,1.0,,9.0,1.0,16.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162.0,,36.0,,,170.0,,,,,,,,,6.0,20.0,17.0,0.0,4.0,0.0,7.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.0,,80.0,,,179.0,,,,,,,,,21.0,17.0,19.0,0.0,9.0,4.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,,92.0,23.0,,221.0,2.0,,,,,,,,11.0,7.0,9.0,2.0,8.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142.0,,144.0,88.0,,158.0,16.0,,,,,,,,19.0,26.0,13.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,,88.0,105.0,,262.0,9.0,,,,,,,,34.0,119.0,5.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182.0,,66.0,191.0,,100.0,88.0,,34.0,,,,,,20.0,38.0,12.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.0,36.0,11.0,206.0,1.0,201.0,35.0,0.0,16.0,,86.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218.0,101.0,33.0,51.0,8.0,204.0,13.0,4.0,24.0,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151.0,135.0,26.0,80.0,39.0,172.0,56.0,0.0,29.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,36.0,34.5,26.0,8.0,70.0,59.5,,153.5,13.0,,,,,,,,,,,,,172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454.0,,69.0,163.0,13.0,396.0,,,498.0,68.0,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
497.0,,5.0,73.0,41.0,375.0,,,650.0,69.0,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
378.0,,76.0,,26.0,400.0,,,460.0,109.0,,,,,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,303.0,,,,,
122.0,,5.0,,33.0,354.0,,,596.0,77.0,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,315.0,,,,,
181.0,,320.0,,30.0,216.0,,,405.0,155.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,10.0,,,,,
27.0,,257.0,,67.0,428.0,,,187.0,136.0,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,0.0,,,,
76.0,,138.0,8.0,63.0,398.0,,,468.0,173.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,29.0,,,
30.0,,83.0,57.0,53.0,522.0,,,368.0,187.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,
62.0,,7.0,122.0,33.0,571.0,,,419.0,59.0,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,
145.0,,1.0,91.0,85.0,504.0,,,417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,73.0,,
202.0,,0.0,181.0,,131.0,,,319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,195.0,107.0,
275.0,,23.0,,,323.5,,,585.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,,,613.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,142.0,155.0
159.0,,8.0,,,554.0,,,759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,35.0,173.0
103.0,,11.0,,,191.0,,,503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.0,,,,,,247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,3.0,57.0
